id_customer,level,nama,id_cabang_sales,cabang_sales,id_group,jenis_group
CUST55380,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55381,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55382,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55383,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55384,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55385,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55386,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55387,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55388,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55389,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55390,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55391,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55392,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55393,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55394,Company,KLINIK DR. ANDRI,CAB08,Lampung,Z31,Klinik
CUST55395,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55396,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55397,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55398,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55399,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55400,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55401,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55402,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55403,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55404,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55405,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55406,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55407,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55408,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55409,Company,KLINIK DR. ANDRI,CAB08,Lampung,Z31,Klinik
CUST55410,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55411,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55412,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55413,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55414,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55415,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55416,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55417,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55418,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55419,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55420,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55421,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55422,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55423,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55424,Company,KLINIK DR. ANDRI,CAB08,Lampung,Z31,Klinik
CUST55425,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55426,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55427,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55428,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55429,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55430,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55431,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
CUST55432,Company,APOTEK TAPAK,CAB01,Aceh,Z32,Apotek
CUST55433,Company,APOTEK MAJA,CAB02,Kuningan,Z32,Apotek
CUST55434,Company,KLINIK GM,CAB03,Jakarta,Z31,Klinik
CUST55435,Company,APOTEK MERDEKA,CAB04,Bandung,Z32,Apotek
CUST55436,Company,KLINIK SAHABAT,CAB05,Tangerang,Z31,Klinik
CUST55437,Company,APOTEK SINAR JAYA,CAB06,Bekasi,Z32,Apotek
CUST55438,Company,APOTEK SAHABAT,CAB07,Padang,Z32,Apotek
