id_distributor,id_cabang,id_invoice,tanggal,id_customer,id_barang,jumlah_barang,unit,harga,mata_uang,brand_id,lini
TD,CAB01,IN5997,2022-01-20,CUST55380,BRG0001,1,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB01,IN6297,2022-01-20,CUST55381,BRG0002,5,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB02,IN6155,2022-01-21,CUST55382,BRG0003,9,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB03,IN6144,2022-01-22,CUST55383,BRG0004,13,DUS,8700.7,IDR,BRND004,VNS
TD,CAB04,IN6280,2022-01-23,CUST55384,BRG0005,1,DUS,5648.3,IDR,BRND005,SLCYL
TA,CAB05,IN6052,2022-01-23,CUST55385,BRG0006,5,DUS,2819.2,IDR,BRND006,OGB & PH
EPM,CAB06,IN6089,2022-01-25,CUST55386,BRG0007,9,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB07,IN6251,2022-01-23,CUST55387,BRG0008,1,DUS,3991.9,IDR,BRND008,MARCKS
TA,CAB08,IN6036,2022-01-27,CUST55388,BRG0009,23,DUS,5780.7,IDR,BRND009,VNS
EPM,CAB09,IN6029,2022-01-28,CUST55389,BRG0010,4,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB10,IN6190,2022-01-23,CUST55390,BRG0001,2,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB01,IN6287,2022-01-30,CUST55391,BRG0002,17,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB01,IN6102,2022-01-31,CUST55392,BRG0003,11,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB02,IN6301,2022-02-01,CUST55393,BRG0004,12,DUS,8700.7,IDR,BRND004,VNS
TD,CAB03,IN6024,2022-01-27,CUST55394,BRG0005,12,DUS,5648.3,IDR,BRND005,SLCYL
TA,CAB04,IN6184,2022-01-28,CUST55395,BRG0006,25,DUS,2819.2,IDR,BRND006,OGB & PH
EPM,CAB05,IN6307,2022-01-23,CUST55396,BRG0007,14,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB06,IN6245,2022-01-30,CUST55397,BRG0008,34,DUS,3991.9,IDR,BRND008,MARCKS
TA,CAB07,IN6195,2022-01-31,CUST55398,BRG0009,67,DUS,5780.7,IDR,BRND009,VNS
EPM,CAB08,IN6023,2022-02-01,CUST55399,BRG0010,15,DUS,6940.3,IDR,BRND010,SLCYL
TD,CAB09,IN6113,2022-01-27,CUST55400,BRG0001,12,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB10,IN6141,2022-01-28,CUST55401,BRG0002,25,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB01,IN6125,2022-01-23,CUST55402,BRG0003,14,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB01,IN6176,2022-01-30,CUST55403,BRG0004,18,DUS,8700.7,IDR,BRND004,VNS
TD,CAB02,IN6175,2022-01-31,CUST55404,BRG0005,18,DUS,5648.3,IDR,BRND005,SLCYL
TA,CAB03,IN6259,2022-02-01,CUST55405,BRG0006,19,DUS,2819.2,IDR,BRND006,OGB & PH
EPM,CAB01,IN6173,2022-01-27,CUST55406,BRG0001,12,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB01,IN6013,2022-01-28,CUST55407,BRG0002,25,DUS,3991.9,IDR,BRND008,MARCKS
TD,CAB02,IN6086,2022-01-23,CUST55408,BRG0003,14,DUS,5780.7,IDR,BRND009,VNS
TA,CAB03,IN6108,2022-01-30,CUST55409,BRG0004,21,DUS,6940.3,IDR,BRND010,SLCYL
EPM,CAB04,IN6321,2022-01-31,CUST55410,BRG0001,22,DUS,1169.91,IDR,BRND001,OGB & PH
TD,CAB05,IN5994,2022-02-01,CUST55411,BRG0002,12,DUS,2337.5,IDR,BRND002,ETIKAL
TA,CAB06,IN6146,2022-01-27,CUST55412,BRG0003,25,DUS,10690.6,IDR,BRND003,MARCKS
EPM,CAB07,IN6230,2022-01-28,CUST55413,BRG0004,14,DUS,8700.7,IDR,BRND004,VNS
TD,CAB08,IN5991,2022-01-23,CUST55414,BRG0005,24,DUS,5648.3,IDR,BRND005,SLCYL
TA,CAB09,IN6281,2022-01-30,CUST55415,BRG0006,10,DUS,2819.2,IDR,BRND006,OGB & PH
EPM,CAB10,IN6226,2022-01-31,CUST55416,BRG0007,23,DUS,4592.1,IDR,BRND007,ETIKAL
TD,CAB01,IN6063,2022-02-01,CUST55417,BRG0008,12,DUS,3991.9,IDR,BRND008,MARCKS
